config_group,original_variant,new_variant,lineage_seed,resume_generations,initial_state_file
resume_add_5_to8,195,166,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=195/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,48,40,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=48/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,48,40,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=48/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,80,68,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=80/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,80,68,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=80/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,213,180,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=213/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,213,180,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=213/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,246,201,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=246/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,246,201,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=246/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,59,50,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=59/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,59,50,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=59/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,122,104,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=122/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,122,104,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=122/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,136,117,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=136/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,136,117,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=136/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,183,157,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=183/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,183,157,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=183/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,228,193,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=228/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,228,193,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=228/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,159,139,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=159/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,159,139,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=159/seed=100/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,283,232,101,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=283/seed=101/generation=3/agent_id=000/daughter_state_1.json
resume_add_5_to8,283,232,100,5,/user/work/il22158/vEcoli/out/gene_knockout_TU_ID_rest_list/daughter_states/variant=283/seed=100/generation=3/agent_id=000/daughter_state_1.json
