knocked_out_gene,project_name,ko_input,failed_before_8th_generation,essentiality_web_lab,match
EG12563,gene_knockout_TU_ID_rest_list_rerun2,TU0-4961[c],False,False,True
EG10581,gene_knockout_TU_ID_rest_list_rerun2,TU0-5061[c],True,False,False
G7858,gene_knockout_TU_ID_rest_list_rerun2,TU0-5162[c],False,False,True
G7860,gene_knockout_TU_ID_rest_list_rerun2,TU0-5162[c],False,False,True
EG10048,gene_knockout_TU_ID_rest_list_rerun2,TU0-5186[c],False,False,True
EG10565,gene_knockout_TU_ID_rest_list_rerun2,TU0-5402[c],False,False,True
EG10068,gene_knockout_TU_ID_rest_list_rerun2,TU0-5501[c],True,True,True
G7533,gene_knockout_TU_ID_rest_list_rerun2,TU0-5561[c],False,False,True
EG10200,gene_knockout_TU_ID_rest_list_rerun2,TU0-5961[c],False,False,True
EG10700,gene_knockout_TU_ID_rest_list_rerun2,TU0-6408[c],False,False,True
EG10407,gene_knockout_TU_ID_rest_list_rerun2,TU0-6409[c],True,True,True
EG10039,gene_knockout_TU_ID_rest_list_rerun2,TU0-6422[c],False,False,True
EG10566,gene_knockout_TU_ID_rest_list_rerun2,TU0-6425[c],False,False,True
EG10034,gene_knockout_TU_ID_rest_list_rerun2,TU0-6441[c],True,True,True
EG10032,gene_knockout_TU_ID_rest_list_rerun2,TU0-6481[c],True,True,True
EG10096,gene_knockout_TU_ID_rest_list_rerun2,TU0-6482[c],True,False,False
EG10138,gene_knockout_TU_ID_rest_list_rerun2,TU0-6485[c],False,False,True
EG10187,gene_knockout_TU_ID_rest_list_rerun2,TU0-6501[c],True,True,True
EG10453,gene_knockout_TU_ID_rest_list_rerun2,TU0-6506[c],True,True,True
EG10871,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,True,False
EG10873,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,True,False
EG10894,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,False,True
EG10895,gene_knockout_TU_ID_rest_list_rerun2,TU0-6512[c],False,False,True
EG10770,gene_knockout_TU_ID_rest_list_rerun2,TU0-6562[c],True,True,True
EG10046,gene_knockout_TU_ID_rest_list_rerun2,TU0-6569[c],False,False,True
G6269,gene_knockout_TU_ID_rest_list_rerun2,TU0-6623[c],False,False,True
EG11796,gene_knockout_TU_ID_rest_list_rerun2,TU0-6630[c],False,False,True
EG11041,gene_knockout_TU_ID_rest_list_rerun2,TU0-6631[c],False,False,True
EG10098,gene_knockout_TU_ID_rest_list_rerun2,TU0-6635[c],False,False,True
EG10101,gene_knockout_TU_ID_rest_list_rerun2,TU0-6635[c],False,False,True
EG10102,gene_knockout_TU_ID_rest_list_rerun2,TU0-6635[c],False,False,True
EG10103,gene_knockout_TU_ID_rest_list_rerun2,TU0-6635[c],False,False,True
EG10104,gene_knockout_TU_ID_rest_list_rerun2,TU0-6635[c],False,False,True
EG10386,gene_knockout_TU_ID_rest_list_rerun2,TU0-6649[c],False,False,True
EG10634,gene_knockout_TU_ID_rest_list_rerun2,TU0-6652[c],False,False,True
EG10135,gene_knockout_TU_ID_rest_list_rerun2,TU0-6884[c],False,True,False
EG11286,gene_knockout_TU_ID_rest_list_rerun2,TU0-6886[c],True,False,False
EG11351,gene_knockout_TU_ID_rest_list_rerun2,TU0-7162[c],False,False,True
EG10520,gene_knockout_TU_ID_rest_list_rerun2,TU0-7163[c],False,True,False
EG10077,gene_knockout_TU_ID_rest_list_rerun2,TU0-7281[c],True,True,True
EG11443,gene_knockout_TU_ID_rest_list_rerun2,TU0-7341[c],True,False,False
EG11428,gene_knockout_TU_ID_rest_list_rerun2,TU0-7521[c],False,False,True
G6800,gene_knockout_TU_ID_rest_list_rerun2,TU0-7861[c],False,False,True
G6626,gene_knockout_TU_ID_rest_list_rerun2,TU0-7981[c],False,False,True
G6627,gene_knockout_TU_ID_rest_list_rerun2,TU0-7981[c],False,False,True
EG11556,gene_knockout_TU_ID_rest_list_rerun2,TU0-8121[c],False,False,True
G7516,gene_knockout_TU_ID_rest_list_rerun2,TU0-8343[c],False,False,True
G7723,gene_knockout_TU_ID_rest_list_rerun2,TU0-8346[c],False,False,True
G7726,gene_knockout_TU_ID_rest_list_rerun2,TU0-8346[c],False,False,True
EG12245,gene_knockout_TU_ID_rest_list_rerun2,TU0-8360[c],False,False,True
EG10063,gene_knockout_TU_ID_rest_list_rerun2,TU0-8472[c],True,False,False
G6877,gene_knockout_TU_ID_rest_list_rerun2,TU0-8473[c],False,False,True
EG10755,gene_knockout_TU_ID_rest_list_rerun2,TU0-8492[c],True,True,True
EG10769,gene_knockout_TU_ID_rest_list_rerun2,TU0-8493[c],True,False,False
G7647,gene_knockout_TU_ID_rest_list_rerun2,TU0-8574[c],False,False,True
G7833,gene_knockout_TU_ID_rest_list_rerun2,TU0-8610[c],False,False,True
EG12026,gene_knockout_TU_ID_rest_list_rerun2,TU0-8726[c],False,False,True
