gene_symbol,Gene,RNA ID,failed_before_gen8,Rousset_all_strains_M9,rousset_bool,expected_category,criteria_match,n_simulations
rhaa,rhaA,EG11867_RNA,False,0,False,expected_nonessential,True,2
rhad,rhaD,EG11866_RNA,False,0,False,expected_nonessential,True,2
ribb,ribB,EG10465_RNA,False,0,False,expected_nonessential,True,2
rihb,rihB,EG12030_RNA,False,0,False,expected_nonessential,True,2
rihc,rihC,EG11082_RNA,False,0,False,expected_nonessential,True,2
rnb,rnb,EG11620_RNA,False,0,False,expected_nonessential,True,2
rpe,rpe,M004_RNA,False,0,False,expected_nonessential,True,2
rpia,rpiA,EG11443_RNA,False,0,False,expected_nonessential,True,2
rpla,rplA,EG10864_RNA,True,1,True,expected_essential,True,2
rplb,rplB,EG10865_RNA,True,1,True,expected_essential,True,2
rplc,rplC,EG10866_RNA,True,1,True,expected_essential,True,2
rpld,rplD,EG10867_RNA,True,1,True,expected_essential,True,2
rple,rplE,EG10868_RNA,True,1,True,expected_essential,True,2
rplf,rplF,EG10869_RNA,True,1,True,expected_essential,True,2
rpli,rplI,EG10870_RNA,True,0,False,expected_nonessential,False,2
rplj,rplJ,EG10871_RNA,True,1,True,expected_essential,True,2
rplk,rplK,EG10872_RNA,True,1,True,expected_essential,True,2
rpll,rplL,EG10873_RNA,True,1,True,expected_essential,True,2
rplm,rplM,EG10874_RNA,True,1,True,expected_essential,True,2
rpln,rplN,EG10875_RNA,True,1,True,expected_essential,True,2
rplo,rplO,EG10876_RNA,True,1,True,expected_essential,True,2
rplp,rplP,EG10877_RNA,True,1,True,expected_essential,True,2
rplq,rplQ,EG10878_RNA,True,1,True,expected_essential,True,2
rplr,rplR,EG10879_RNA,True,1,True,expected_essential,True,2
rpls,rplS,EG10880_RNA,True,1,True,expected_essential,True,2
rplt,rplT,EG10881_RNA,True,1,True,expected_essential,True,2
rplu,rplU,EG50001_RNA,True,0,False,expected_nonessential,False,2
rplv,rplV,EG10882_RNA,True,1,True,expected_essential,True,2
rplw,rplW,EG10883_RNA,True,1,True,expected_essential,True,2
rplx,rplX,EG10884_RNA,True,1,True,expected_essential,True,2
rply,rplY,EG10885_RNA,True,1,True,expected_essential,True,2
rpma,rpmA,EG50002_RNA,True,1,True,expected_essential,True,2
rpmb,rpmB,EG10886_RNA,True,1,True,expected_essential,True,2
rpmc,rpmC,EG10887_RNA,True,0,False,expected_nonessential,False,2
rpmd,rpmD,EG10888_RNA,True,1,True,expected_essential,True,2
rpme,rpmE,EG10889_RNA,True,0,False,expected_nonessential,False,2
rpmf,rpmF,EG10890_RNA,True,0,False,expected_nonessential,False,2
rpmg,rpmG,EG10891_RNA,True,0,False,expected_nonessential,False,2
rpmh,rpmH,EG10892_RNA,True,1,True,expected_essential,True,2
rpmi,rpmI,EG11231_RNA,True,0,False,expected_nonessential,False,2
rpmj,rpmJ,EG11232_RNA,True,0,False,expected_nonessential,False,2
rpoa,rpoA,EG10893_RNA,False,1,True,expected_essential,False,2
rpob,rpoB,EG10894_RNA,False,0,False,expected_nonessential,True,2
rpoc,rpoC,EG10895_RNA,False,0,False,expected_nonessential,True,2
rpsa,rpsA,EG10900_RNA,True,1,True,expected_essential,True,2
rpsb,rpsB,EG10901_RNA,True,1,True,expected_essential,True,2
rpsc,rpsC,EG10902_RNA,True,1,True,expected_essential,True,2
