Gene,RNA ID,Monomer ID,Process,Essentiality
gatY,EG12419_RNA,TAGAALDOL2-MONOMER,Metabolism,0
gatZ,G7128_RNA,G7128-MONOMER,Metabolism,0
gcl,EG11583_RNA,GLYOCARBOLIG-MONOMER,Metabolism,0
gcvP,EG11810_RNA,GCVP-MONOMER,Metabolism,0
gcvT,EG11442_RNA,GCVT-MONOMER,Metabolism,0
gdhA,EG10372_RNA,GDHA-MONOMER,Metabolism,0
ghrA,G6539_RNA,G6539-MONOMER,Metabolism,0
ghrB,EG12272_RNA,MONOMER-43,Metabolism,0
glcA,G7542_RNA,B2975-MONOMER,Metabolism,0
glcB,EG20080_RNA,MALSYNG-MONOMER,Metabolism,0
glcD,G7545_RNA,G7545-MONOMER,Metabolism,0
glcE,G7544_RNA,G7544-MONOMER,Metabolism,0
glcF,G0-8601_RNA,MONOMER0-561,Metabolism,0
gldA,EG11904_RNA,GLYCDEH-MONOMER,Metabolism,0
glf,EG11981_RNA,GALPMUT-MONOMER,Metabolism,0
glgC,EG10379_RNA,GLUC1PADENYLTRANS-MONOMER,Metabolism,0
glk,EG12957_RNA,GLUCOKIN-MONOMER,Metabolism,0
glmM,EG11553_RNA,PHOSGLUCOSAMINEMUT-MONOMER,Metabolism,0
glmS,EG10382_RNA,L-GLN-FRUCT-6-P-AMINOTRANS-MONOMER,Metabolism,0
glmU,EG11198_RNA,NAG1P-URIDYLTRANS-MONOMER,Metabolism,0
glnA,EG10383_RNA,GLUTAMINESYN-MONOMER,Metabolism,1
glnH,EG10386_RNA,GLNH-MONOMER,Metabolism,0
glnP,EG10388_RNA,GLNP-MONOMER,Metabolism,0
glnQ,EG10389_RNA,GLNQ-MONOMER,Metabolism,0
glnS,EG10390_RNA,GLNS-MONOMER,Metabolism,1
gloA,G6891_RNA,GLYOXI-MONOMER,Metabolism,0
gloB,G6099_RNA,GLYOXII-MONOMER,Metabolism,0
glpA,EG10391_RNA,ANGLYC3PDEHYDROGSUBUNITA-MONOMER,Metabolism,0
glpB,EG10392_RNA,ANGLYC3PDEHYDROGSUBUNITB-MONOMER,Metabolism,0
glpC,EG10393_RNA,ANGLYC3PDEHYDROGSUBUNITC-MONOMER,Metabolism,0
glpD,EG10394_RNA,AERGLYC3PDEHYDROG-MONOMER,Metabolism,0
glpE,EG10395_RNA,EG10395-MONOMER,Metabolism,0
glpF,EG10396_RNA,GLPF-MONOMER,Metabolism,0
glpK,EG10398_RNA,GLYCEROL-KIN-MONOMER,Metabolism,0
glpQ,EG10399_RNA,GLYCPDIESTER-PERI-MONOMER,Metabolism,0
glpX,EG11517_RNA,EG11517-MONOMER,Metabolism,0
gltA,EG10402_RNA,CITSYN-MONOMER,Metabolism,0
gltB,EG10403_RNA,GLUSYNLARGE-MONOMER,Metabolism,0
gltD,EG10404_RNA,GLUSYNSMALL-MONOMER,Metabolism,0
gltI,G6359_RNA,G6359-MONOMER,Metabolism,0
gltJ,EG12661_RNA,GLTJ-MONOMER,Metabolism,0
gltK,EG12662_RNA,GLTK-MONOMER,Metabolism,0
gltL,EG12663_RNA,GLTL-MONOMER,Metabolism,0
gltP,EG10405_RNA,GLTP-MONOMER,Metabolism,0
gltX,EG10407_RNA,GLURS-MONOMER,Metabolism,1
glxK,G6283_RNA,GLY3KIN-MONOMER,Metabolism,0
glxR,G6278_RNA,G6278-MONOMER,Metabolism,0
glyA,EG10408_RNA,GLYOHMETRANS-MONOMER,Metabolism,0
glyQ,EG10409_RNA,GLYQ-MONOMER,Metabolism,1
glyS,EG10410_RNA,GLYS-MONOMER,Metabolism,1
gmhB,EG11736_RNA,EG11736-MONOMER,Metabolism,0
gmk,EG10965_RNA,GUANYL-KIN-MONOMER,Metabolism,1
gnd,EG10411_RNA,6PGLUCONDEHYDROG-MONOMER,Metabolism,0
